"id","rank","name","symbol","slug","is_active","first_historical_data","last_historical_data"
4679,271,"Band Protocol","BAND","band-protocol",1,2019-09-18,2024-04-26
8037,272,"Vanar Chain","VANRY","vanar",1,2020-12-16,2024-04-26
9674,273,"Wilder World","WILD","wilder-world",1,2021-05-11,2024-04-26
5728,274,"Balancer","BAL","balancer",1,2020-06-24,2024-04-26
26680,275,"Neutron","NTRN","neutron-ntrn",1,2023-06-13,2024-04-26
4279,276,"Solar","SXP","sxp",1,2019-08-26,2024-04-26
4512,277,"FINSCHIA","FNSA","finschia",1,2020-03-05,2024-04-26
7737,278,"API3","API3","api3",1,2020-11-29,2024-04-26
11976,279,"Aleph Zero","AZERO","aleph-zero",1,2022-01-27,2024-04-26
2405,280,"IOST","IOST","iostoken",1,2018-01-16,2024-04-26
3814,281,"Celer Network","CELR","celer-network",1,2019-03-25,2024-04-26
14783,282,"Treasure","MAGIC","magic-token",1,2021-11-18,2024-04-26
1637,283,"iExec RLC","RLC","rlc",1,2017-04-20,2024-04-26
28933,284,"Xai","XAI","xai-games",1,2024-01-09,2024-04-26
23757,285,"ATOR Protocol","ATOR","airtor-protocol",1,2023-03-04,2024-04-26
109,286,"DigiByte","DGB","digibyte",1,2014-02-06,2024-04-26
22074,287,"ALEX Lab","ALEX","alex-lab",1,2022-10-11,2024-04-26
17917,288,"RSS3","RSS3","rss3",1,2022-02-13,2024-04-26
24007,289,"Delysium","AGI","delysium",1,2023-04-11,2024-04-26
11396,290,"JOE","JOE","joe",1,2021-08-27,2024-04-26
9040,291,"Pundi X (New)","PUNDIX","pundix-new",1,2021-04-04,2024-04-26
3992,292,"COTI","COTI","coti",1,2019-06-04,2024-04-26
3701,293,"Rootstock Infrastructure Framework","RIF","rsk-infrastructure-framework",1,2019-01-16,2024-04-26
21781,294,"Stride","STRD","stride",1,2022-12-07,2024-04-26
11584,295,"Braintrust","BTRST","braintrust",1,2021-09-15,2024-04-26
12147,296,"Synapse","SYN","synapse-2",1,2021-09-26,2024-04-26
4120,297,"Prom","PROM","prom",1,2019-07-17,2024-04-26
14519,298,"VVS Finance","VVS","vvs-finance",1,2021-11-22,2024-04-26
11232,299,"Highstreet","HIGH","highstreet",1,2021-10-14,2024-04-26
2499,300,"SwissBorg","BORG","swissborg",1,2018-02-03,2024-04-26
24781,301,"CyberConnect","CYBER","cyberconnect",1,2023-08-15,2024-04-26
14878,302,"Alephium","ALPH","alephium",1,2022-01-12,2024-04-26
28675,303,"Coq Inu","COQ","coq-inu",1,2023-12-11,2024-04-26
3626,304,"Rootstock Smart Bitcoin","RBTC","rsk-smart-bitcoin",1,2018-12-05,2024-04-26
24600,305,"Helium Mobile","MOBILE","helium-mobile",1,2023-04-21,2024-04-26
541,306,"Syscoin","SYS","syscoin",1,2014-08-20,2024-04-26
5031,307,"MimbleWimbleCoin","MWC","mimblewimblecoin",1,2020-02-23,2024-04-26
7497,308,"Marlin","POND","marlin",1,2020-12-20,2024-04-26
5190,309,"FLEX","FLEX","flex",1,2020-02-24,2024-04-26
30168,310,"Stratis [New]","STRAX","stratis-new",1,2024-03-28,2024-04-26
24613,311,"Open Campus","EDU","open-campus",1,2023-04-28,2024-04-26
5446,312,"USDJ","USDJ","usdj",1,2020-04-14,2024-04-26
1816,313,"Civic","CVC","civic",1,2017-07-17,2024-04-26
30008,314,"Apu Apustaja","APU","apu-apustaja",1,2024-03-20,2024-04-26
5824,315,"Smooth Love Potion","SLP","smooth-love-potion",1,2020-07-08,2024-04-26
28230,316,"Big Time","BIGTIME","big-time",1,2023-10-11,2024-04-26
7129,317,"TerraClassicUSD","USTC","terrausd",1,2020-11-24,2024-04-26
2165,318,"ERC20","ERC20","erc20",1,2017-11-10,2024-04-26
5370,319,"Hive","HIVE","hive-blockchain",1,2020-03-26,2024-04-26
8972,320,"Seedify.fund","SFUND","seedify-fund",1,2021-03-29,2024-04-26
30712,321,"Merlin Chain","MERL","merlin-chain",1,2024-04-19,2024-04-26
13769,322,"World Mobile Token","WMT","world-mobile-token",1,2021-12-23,2024-04-26
7288,323,"Venus","XVS","venus",1,2020-10-05,2024-04-26
3801,324,"BORA","BORA","bora",1,2019-03-18,2024-04-26
2930,325,"IQ","IQ","iq",1,2018-07-13,2024-04-26
1732,326,"Numeraire","NMR","numeraire",1,2017-06-23,2024-04-26
29676,327,"Aevo","AEVO","aevo",1,2024-03-13,2024-04-26
9263,328,"Unizen","ZCX","unizen",1,2021-04-16,2024-04-26
29555,329,"Portal","PORTAL","portal-gaming",1,2024-02-29,2024-04-26
19091,330,"H2O DAO","H2O","h2o-dao",1,2022-03-26,2024-04-26
1759,331,"Status","SNT","status",1,2017-06-28,2024-04-26
24225,332,"MetFi","METFI","metfi2",1,2023-04-05,2024-04-26
28382,333,"Myro","MYRO","myro",1,2023-11-11,2024-04-26
5566,334,"Keep Network","KEEP","keep-network",1,2020-05-13,2024-04-26
12749,335,"Nakamoto Games","NAKA","nakamoto-games",1,2021-10-15,2024-04-26
5444,336,"Cartesi","CTSI","cartesi",1,2020-04-23,2024-04-26
4944,337,"Tellor","TRB","tellor",1,2019-11-19,2024-04-26
1567,338,"Nano","XNO","nano",1,2017-03-07,2024-04-26
2132,339,"Powerledger","POWR","power-ledger",1,2017-11-01,2024-04-26
27750,340,"Toshi","TOSHI","toshithecat",1,2023-08-04,2024-04-26
2505,341,"Bluzelle","BLZ","bluzelle",1,2018-02-06,2024-04-26
